Date,Description,Amount
2026-04-01,ACME CORP PAYROLL,3200.00
2026-04-01,LANDLORD RENT APR,-1400.00
2026-04-02,WHOLE FOODS MARKET #102,-86.43
2026-04-03,STARBUCKS #5567 SEATTLE,-6.75
2026-04-04,NETFLIX.COM,-15.49
2026-04-05,SPOTIFY USA,-10.99
2026-04-06,SHELL OIL 57442,-52.10
2026-04-08,ADOBE CREATIVE CLOUD,-54.99
2026-04-09,UBER EATS PENDING,-28.60
2026-04-10,CITY GYM MEMBERSHIP,-39.00
2026-04-12,TRADER JOES #331,-72.18
2026-04-14,COMCAST INTERNET,-79.99
2026-04-15,AMAZON MKTPLACE,-43.27
2026-04-18,STARBUCKS #2210 PORTLAND,-7.25
2026-04-21,CVS PHARMACY #884,-18.40
2026-04-25,STEAM PURCHASE,-19.99
2026-05-01,ACME CORP PAYROLL,3200.00
2026-05-01,LANDLORD RENT MAY,-1400.00
2026-05-02,WHOLE FOODS MARKET #102,-91.12
2026-05-04,NETFLIX.COM,-15.49
2026-05-05,SPOTIFY USA,-10.99
2026-05-06,LYFT RIDE,-14.30
2026-05-08,ADOBE CREATIVE CLOUD,-54.99
2026-05-09,DOORDASH SUSHI PLACE,-41.85
2026-05-10,CITY GYM MEMBERSHIP,-39.00
2026-05-11,TRADER JOES #331,-68.90
2026-05-14,COMCAST INTERNET,-79.99
2026-05-16,TARGET STORE T-2041,-64.75
2026-05-19,STARBUCKS #5567 SEATTLE,-6.75
2026-05-23,CINEMA CITY TICKETS,-32.00
2026-05-27,SHELL OIL 57442,-48.65
2026-06-01,ACME CORP PAYROLL,3200.00
2026-06-01,LANDLORD RENT JUN,-1400.00
2026-06-03,WHOLE FOODS MARKET #102,-84.30
2026-06-04,NETFLIX.COM,-15.49
2026-06-05,SPOTIFY USA,-10.99
2026-06-07,UBER TRIP,-22.40
2026-06-08,ADOBE CREATIVE CLOUD,-54.99
2026-06-10,CITY GYM MEMBERSHIP,-39.00
2026-06-12,TRADER JOES #331,-77.55
2026-06-14,COMCAST INTERNET,-79.99
2026-06-15,AMAZON MKTPLACE,-29.90
2026-06-18,STARBUCKS #2210 PORTLAND,-7.25
2026-06-20,WALGREENS #7712,-12.60
2026-06-24,PIZZA PALACE,-26.50
2026-06-28,VERIZON WIRELESS,-45.00
